JobType;FreqJobPlace;FreqJobPlace.Dummy;TimesWeekJob;TransportModes1;TransportModes2;TransportModes3;TransportModes4;TransportModes5;SustUser;VRU;BVTECH;Foot.PerformanceRisk;Bike.PerformanceRisk;eScooter.PerformanceRisk;Car.PerformanceRisk;Foot.SocialRisk;Bike.SocialRisk;eScooter.SocialRisk;Car.SocialRisk;Foot.PhysicalRisk;Bike.PhysicalRisk;eScooter.PhysicalRisk;Car.PhysicalRisk;Foot.FinancialRisk;Bike.FinancialRisk;eScooter.FinancialRisk;Car.FinancialRisk;Foot.TimeLossRisk;Bike.TimeLossRisk;eScoooter.TimeLossRisk;Car.TimeLossRisk;Foot.SavingTime.PerceivedUsefulness;Bike.SavingTime.PerceivedUsefulness;eScooter.SavingTime.PerceivedUsefulness;Foot.SavingMoney.PerceivedUsefulness;Bike.SavingMoney.PerceivedUsefulness;eScooter.SavingMoney.PerceivedUsefulness;Foot.FeelsGood.PerceivedUsefulness;Bike.FeelsGood.PerceivedUsefulness;eScooter.FeelsGood.PerceivedUsefulness;Foot.Healthy.PerceivedUsefulness;Bike.Healthy.PerceivedUsefulness;eScooter.Healthy.PerceivedUsefulness;Walk.Risk.LowLight;Walk.Risk.Crossway;Walk.Risk.BadRoads;Walk.Risk.Speed;Walk.RiskSecurity;Bike.Risk.LowLight;Bike.RiskBadRoads;Bike.Risk.Speed;Bike.Risk.lightTraffic;Bike.Risk.Security;Bike.Risk.Thief;Walk.EasetoUse;Bike.EasetoUse;Escooter.EasetoUse;WhereJob;StartPointJob;SameCityJob;Walk.IntentionToUse;Bike.IntentionToUse;Escooter.IntentionToUse;Walk.ActualUse.;Bike.ActualUse;Escooter.ActualUse;Walk.BikeWays.Intention;Bike.BikeWays.Intention;eScooter.BikeWays.Intention;Walk.Limit30.Intention;Bike.Limit30.Intention;eScooter.Limit30.Intention;Walk.RoadHump.Intention;Bike.Parking.Intention;eScooter.Parking.Intention;Bike.Sharing.Intention;eScooter.Sharing.Intention;Foot.PublicTransport.Bis.Intention;Bike.PublicTransport.Bis.Intention;eScooter.PublicTransport.Bis.Intention;Foot.Bis.ActualUse;Bike.Bis.ActualUse;eScooter.Bis.ActualUse;Foot.BikeWays.Bis.Intention;Bike.BikeWays.Bis.Intention;eScooter.BikeWays.Bis.Intention;Foot.Limit30.Bis.IntetiontoUse;Bike.Limit30.Bis.IntetiontoUse;eScooter.Limit30.Bis.IntentiontoUse;Foot.HumpRoad.Bis.IntetiontoUse;Bike.Parking.Bis.IntetiontoUse;eScooter.Parking.Bis.IntetiontoUse;Bike.Sharing.Bis.Intention;eScooter.Sharing.Bis.Intention;Sentiment.UseCar;Sentiment.UseCar.Dummy;Sentiment.MoreTime;Sentiment.MoreTime.Dummy;Sentiment.CarHome;Sentiment.CarHome.Dummy;Sentiment.LikeBike;Sentiment.LikeBike.Dummy;Sentiment.RecommendPublicTransport;Sentiment.RecommendPublicTransport.Dummy;ITAGender;Gender;BirthYear;Age;LivingPlace;ItaCitizen;ITACitizenShip;OtherCitizen;BirthPlace;Education;EducationYears;QualityLifeAreaVote;AccesibilityPublTransp;RoadSlopeITA;RoadSlope;Car.Owner;MotorBike.Owner;Bike.Owner;eBike.Owner;eScooter.Owner;Ability.Ride;eScooter.Experience;eBike.Experience;DrivingLicense;SameCityJob2;Rome
Non lavoro e non studio; N/A;1;;; ; ; ;;no;no;N/A;1;1;3;3;1;1;1;2;3;3;4;3;1;2;2;5;1;1;1;1;1;3;3;5;5;4;5;5;4;5;5;3;3;3;2;4;4;3;3;4;2;4;5;5;4;0; ; ;yes;5;2;1;3;0;1;4;4;4;5;5;5;0;5;5;5;5;5;2;1;3;0;1;4;4;4;5;5;5;0;5;5;5;5;4;1;4;1;3;1;2;0;4;1;Donna;Female;1994;30;Roma;Sì;yes;;Roma;Laurea magistrale o successivo;18;4;5;Prevalentemente pianeggiante;Flat;No;No;Sì;Sì;Sì;Sì;No;No;Sì;;
Lavoro;Numero di volte;2;6;Bici; ; ; ; ;yes;yes;VRU;2;1;1;0;0;0;0;0;3;2;2;2;0;2;2;4;3;0;0;2;3;3;3;5;4;4;5;5;5;5;5;2;4;4;5;5;3;5;5;5;5;4;3;1;5;5;Roma;Roma;yes;1;5;5;0;100;100;5;5;5;5;5;5;0;5;5;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;2;0;4;1;4;1;1;0;Donna;Female;1990;34; ;Sì;yes; ;Roma;Media superiore;13;2;2;Caratterizzata da piccole salite;Easy climbs;No;No;Sì;No;No;Sì;Sì;Sì;No;yes;Rome
Lavoro;Numero di volte;2;1;Auto; ; ; ; ;no;no;Private;1;2;3;2;0;0;0;2;3;3;4;1;0;1;1;4;4;3;4;4;4;3;3;5;4;4;4;4;4;3;4;2;5;4;3;3;5;5;5;4;4;3;5;1;1;0;Roma;Roma;yes;4;4;0;0;0;0;4;4;0;4;3;0;4;3;3;3;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;4;1;4;1;1;0;1;0;Donna;Female;1997;27; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;3;1;Prevalentemente pianeggiante;Flat;Sì;No;No;No;No;Sì;Sì;No;Sì;yes;Rome
Lavoro;Numero di volte;2;3;Auto; ; ; ; ;no;no;Private;0;0;2;0;0;0;0;0;3;3;4;0;0;0;0;2;2;2;2;0;1;3;3;5;4;4;3;3;3;4;5;4;4;4;3;3;4;5;4;4;4;5;5;3;4;4;Roma;Roma;yes;1;1;1;0;0;0;1;1;1;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;3;1;2;0;1;0;2;0;Donna;Female;1991;33; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;4;3;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;0;0;0;5;0;0;0;0;5;5;5;0;0;0;0;5;5;5;5;0;0;0;0;5;5;5;5;5;3;5;5;0;5;5;5;5;5;5;5;5;5;5;5;0;0;0;Roma;Roma;yes;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;1;0;1;0;1;0;Uomo;Male;1989;35; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;5;3;Caratterizzata da forti pendenze;Steep slopes;Sì;No;No;No;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;3;Moto/scooter; ; ; ; ;no;yes;Private;2;1;1;4;1;0;0;0;3;3;3;2;2;0;0;2;2;2;2;3;2;3;3;4;4;4;5;4;4;5;4;4;5;4;2;3;5;5;4;2;3;5;4;3;3;3;Roma;Labico;no;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;4;1;4;1;1;0;2;0;Uomo;Male;1990;34; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;3;2;Caratterizzata da piccole salite;Easy climbs;Sì;Sì;Sì;Sì;Sì;Sì;Sì;Sì;Sì;no;Not Rome
Sono uno studente;Numero di volte;2;5;Moto/scooter;Vado a piedi; ; ; ;yes;yes;VRU;4;4;4;3;1;1;1;2;2;2;2;0;1;4;4;4;0;1;1;2;1;3;3;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;Roma;Roma;yes;5;5;5;80;80;80;5;5;5;5;5;5;5;5;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;2;0;2;0;4;1;3;1;Uomo;Male;2001;23; ;Sì;yes; ;Roma;Media superiore;13;3;5;Prevalentemente pianeggiante;Flat;No;Sì;No;No;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;1;3;2;4;3;1;1;1;4;2;2;2;1;3;3;3;5;3;3;3;1;3;2;5;4;4;5;4;4;5;5;5;3;3;4;3;5;4;4;4;4;5;5;1;2;3;Roma;Roma;yes;1;3;3;0;0;0;0;3;3;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;4;1;1;0;1;0;1;0;Donna;Female;2000;24; ;Sì;yes; ;Roma;Media superiore;13;3;3;Caratterizzata da forti pendenze;Steep slopes;Sì;No;Sì;No;No;Sì;No;Sì;Sì;yes;Rome
Sono uno studente e lavoro;Numero di volte;2;5;Bus/Tram; ; ; ; ;yes;yes;Public;5;2;0;3;0;0;0;0;3;3;3;1;0;0;1;4;1;0;0;3;2;4;4;5;5;4;5;5;5;5;5;5;5;5;3;5;5;5;4;4;5;5;5;5;5;5;Roma;Nettuno;no;5;5;5;0;0;0;5;4;5;5;4;5;5;5;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;4;1;3;1;3;1;3;1;Donna;Female;1995;29; ;Sì;yes; ;Anzio;Laurea (triennale) di primo livello;16;5;2;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;No;Sì;Sì;no;Not Rome
Sono uno studente;0 (Mai, lavoro da casa, sto sempre a casa);3;0; ; ; ; ; ;no;no;N/A;0;2;5;5;0;0;0;0;0;1;4;2;0;0;0;2;2;2;4;4;3;3;4;3;3;3;5;4;4;5;5;4;4;5;4;5;5;5;5;5;5;5;5;3;3;3;Roma;Cerveteri;no;4;3;3;90;0;0;5;1;0;5;0;0;4;1;1;1;1;4;3;3;90;0;0;5;1;0;5;0;0;4;1;1;1;1;4;1;3;1;4;1;2;0;3;1;Donna;Female;1993;31;Cerveteri;Sì;yes; ;Cerveteri;Laurea magistrale o successivo;18;3;4;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;Sì;No;Sì;no;Not Rome
